"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://www.kdedirect.com/products/kde3520xf-400
15.5,550,1810,2.4,12.4,41,215,5580,245,
18.5,910,2630,4.2,19.8,73,344,4920,245,
