"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=1197
27,3000,8442,5.95,27.64,283,1289,3794,287,
28,3307,9122,6.71,31.11,317,1450,3673,287,
