"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=697
20,1382,4284,5.43,27.75,132,673,,170,
22,1824,5277,7.4,37.74,180,916,,170,
