"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://www.kdedirect.com/products/kde4215xf-465
15.5,1670,5360,8.5,45.2,221,1179,,250,
18.5,2470,7100,13,68.6,339,1790,,250,
