"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=1081
29,2604,8521,4.66,27,222,1276,3439,280,
30,2928,9426,5.31,31.89,253,1504,3318,280,
32,3672,10611,6.89,38.15,328,1794,3068,280,
