"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=319
18,980,3303,3.5,20.5,84,492,3133,317,
20,1267,4078,4.8,27.4,115,658,2992,317,
22,1565,4640,6.2,35.1,149,842,2856,317,
