"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://www.kdedirect.com/products/kde5215xf-330
15.5,1040,3620,4.6,22.5,120,587,4260,360,
18.5,1700,5670,7.3,37.9,190,989,3960,360,
21.5,2740,8270,12.5,65.5,326,1709,3600,360,
