"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=695
14,1282,3891,4.2,18.52,204,899,5834,170,
15,1605,4667,5.3,23.11,258,1121,5684,170,
22,1339,4187,4.75,25.21,116,612,2361,170,
