"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=697
17,1256,3837,7.4,37.74,180,916,,175,
18,1450,4644,7.09,38.43,170,923,,175,
