"Prop Size (Diam., in)",Thrust @ 50% (g),Thrust @ 100% (g),Current Draw @50% (A),Current Draw @100% (A),Power @ 50% (W),Power @ 100% (W),RPM,Weight (g),https://store.tmotor.com/goods.php?id=318
14,800,2030,3.4,13.7,75.48,304.14,6950,195,
15,990,2480,4.3,17.2,95.45,381.84,6500,195,
16,1200,2850,5.2,20,115.44,444,6250,195,
